RBP,IS_K562,IS_HepG2,IS_avg,VS_K562,VS_HepG2,VS_avg
GTF2F1,3.8693149777599793,3.6866722391731708,3.4773730843903654,0.5140936864498168,0.6592490956081164,0.6484193301202185
HLTF,3.2066004728266315,1.3858760306783748,1.8981173679863814,0.6436213482225794,0.2536437885752089,0.4324888962978024
HNRNPA1,1.8800000063400433,1.579134957169846,1.4727794818859217,0.4154326465373387,0.3256753914744005,0.2511117078870387
HNRNPC,68.96580219433551,62.8854223452226,65.745934012098,0.934000621010484,0.9245944257875107,0.9292975233989973
HNRNPK,2.063259508372838,3.265660891258995,2.528690731430699,0.30896143638692114,0.48140592207513316,0.39518367923102715
HNRNPL,17.275416647419505,11.710654007799109,13.96203359412647,0.8775535618534197,0.8428584290032864,0.8602059954283531
HNRNPM,1.1948231612609959,1.2028187465493718,1.1866442075987118,0.10713969746685287,0.11397291919457986,0.11062388179629894
HNRNPU,1.6752705603822702,1.8401266921703279,1.6903321619796412,0.30904325189397114,0.3251258578665086,0.2843653158934581
HNRNPUL1,3.944771888772568,2.3813733694918935,2.742708618687353,0.6930398853756679,0.360929252501606,0.5577180935407235
IGF2BP1,4.269356457788726,5.803920614892054,4.916066108352823,0.7264283019985961,0.7634419381849494,0.7449351200917728
IGF2BP2,1.4185142754605808,NA,NA,0.23687039251705655,NA,NA
IGF2BP3,NA,1.3295714527415465,NA,NA,0.195385912531605,NA
ILF3,1.9966638596628752,8.474443318317327,2.3892961167259763,0.4188164069562547,0.8123994965921267,0.5144255031412156
KHDRBS1,2.5531308515019084,NA,NA,0.45095848027537727,NA,NA
KHSRP,1.2209346750426204,2.1434540162770954,1.5367332508277518,0.11561944601925811,0.4625175961182955,0.2847608422711941
LARP4,2.020048281810326,1.2799187900389215,1.493731730605299,0.42761118855717895,0.16319043707534078,0.277979152052433
LARP7,6.975203282022421,2.1269916957358443,3.2507418743025576,0.8103708922475509,0.502726360231518,0.6565486262395345
LIN28B,1.2411480653703226,1.2308755290197562,1.2497194201789217,0.14102202532831742,0.13496750560236642,0.14439151335080078
LSM11,5.845382102110284,1.6251600988070751,2.7221333970133585,0.7793551219809399,0.33303801843825837,0.5859775580309323
MATR3,2.3552653959138343,1.9094501630482463,2.077401100689354,0.39884521399796197,0.28919656354293044,0.309341220739329
MBNL1,2.7220970657831853,NA,NA,0.5492882204480796,NA,NA
METAP2,1.2877813527695543,NA,NA,0.15794973985835992,NA,NA
METTL1,1.789016627897326,NA,NA,0.41410610589464303,NA,NA
MORC2,4.708294458659292,NA,NA,0.6486023615195977,NA,NA
MTPAP,1.9309901392182014,NA,NA,0.3642388198170361,NA,NA
NCBP2,4.835416932094323,2.586233719546583,3.3717171115303604,0.627187335549216,0.47098531851014,0.5494721995416865
NIP7,NA,2.334537978605889,NA,NA,0.48313831458345224,NA
NIPBL,1.8711661268047055,NA,NA,0.40581928878474904,NA,NA
NKRF,NA,3.547789279201656,NA,NA,0.4702221867199321,NA
NOL12,NA,1.8227595696798329,NA,NA,0.37507314851277096,NA
NOLC1,1.3795009247240713,2.712054604687382,1.727182433124905,0.2038857941072975,0.5360221084759949,0.35358390969275255
NONO,1.481981137346321,NA,NA,0.20755452040127123,NA,NA
NPM1,4.354101579518367,NA,NA,0.7682932177433778,NA,NA
NSUN2,11.097837845950709,5.961551246312506,6.775754093452974,0.8567973769111485,0.6471289131156948,0.8006903902496755
PABPC4,13.44554600877362,NA,NA,0.8314456380690606,NA,NA
PABPN1,NA,3.2384273202372964,NA,NA,0.4838838694960537,NA
PCBP1,2.679510903663712,3.182599029388961,2.90862235239015,0.42481470682279776,0.489584748213549,0.4571997275181734
PCBP2,NA,4.611958520397498,NA,NA,0.5878906558806302,NA
PHF6,2.2941157197864217,NA,NA,0.4906358914726873,NA,NA
POLR2G,NA,3.2781795918112824,NA,NA,0.6221491082778468,NA
PPIG,NA,1.4138923856800372,NA,NA,0.208521985006868,NA
PPIL4,2.191710899949138,NA,NA,0.4903616165243404,NA,NA
PRPF4,NA,2.760456613307142,NA,NA,0.40528166193869136,NA
PRPF8,1.2821080458136294,1.7119748503925425,1.5229340283852988,0.19307286984685174,0.36374317159757025,0.30097489103409103
PTBP1,5.853270060738849,5.549209722913482,5.696558394867139,0.6514002651113402,0.6392516541020771,0.6453259596067087
PUM1,2.120083572486184,NA,NA,0.4047999239342163,NA,NA
PUM2,7.372313614240455,NA,NA,0.7159054977222905,NA,NA
PUS1,6.120749723550598,NA,NA,0.8204313837766288,NA,NA
